PK_CAD,RAZAO_SOCIAL,FANTASIA
4,000,"CONECSUL COM. I. E. DE COMP. ELET. LTDA","CONECSUL COM. I. E. DE COMP. ELET. LTDA"
2031,000,"REDE ATACADAO DOS MOVEIS","ATACADAO DOS MOVEIS"
1653,000,"TELECAM COMUNICAÇÃO COM SEGURANÇA","TELECAM"
2191,000,"BANCO DO BRASIL","BANCO DO BRASIL"
19,000,"FERRAMENTAS GERAIS COM. IMP. S/A","FERRAMENTAS GERAIS - FG"
2199,000,"GAUCHA DISTRIBUIDORA DE INFORMATICA LTDA","GAÚCHA INFORMÁTICA"
2332,000,"TRAMONTINA TEEC S.A.","TRAMONTINA"
1076,000,"CONCEPA TRIUNFO RS  SEM PARAR","CONCEPA"
1898,000,"CGL - CASA DAS GAXETAS IND E COM LTDA","CGL - CASA DAS GAXETAS"
71,000,"EMEL MATERIAL ELÉTRICO S/A","EMEL"
1008,000,"BANCO CAIXA ECONOMICA FEDERAL","CAIXA ECONOMICA"
1365,000,"SERRARIA LANSINS LTDA","SERRARIA LANSINS LTDA"
83,000,"THYSSENKRUPP ELEVADORES S/A 07 - PE","THYSSEN - RECIFE"
2090,000,"ELEVATO MATERIAIS DE CONSTRUCAO E DECORACAO LTDA","ELEVATO"
2256,000,"PALACIO DAS FERRAMENTAS E PARAFUSOS LTDA","PALACIO DAS FERRAMENTAS"
112,000,"THYSSENKRUPP ELEVADORES S/A 05 - DF","THYSSEN - BRASILIA"
184,000,"BR TRONIC ELETRONICA LTDA","BR TRONIC"
2257,000,"HOPEGRAF IMPORTACAO EXPORTACAO E COMERCIO LTDA",
232,000,"LOGMASTER TECNOLOGIA LTDA","LOGMASTER - UPS - SIGRANE"
1899,000,"SCHNEIDER ELECTRIC BRASIL LTDA","TELEMECANIQUE"
1701,000,"JMX IPORTAÇÃO E COMERCIO LTDA - ME","LOJA MUNDI"
249,000,"THYSSENKRUPP ELEVADORES S/A","THYSSEN - GUAIBA"
263,000,"LUMA EQUIP. E SERV.  COMBATE A INCENDIO","LUMA EXTINTORES"
2258,000,"MATRI INDUSTRIA METALURGICA LTDA.","MATRIFIOS LUCRO PREZUMIDO"
1774,000,"MVX COMERCIO ELETRONICO LTDA","MVX"
311,000,"TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA","TYCO - TE CONECTIVITY"
318,000,"ALENCASTRO E RODRIGUES LTDA ME","EVEREST ELETRO ELETRONICA"
1534,000,"MOUSER","MOUSER"
1851,000,"VERA T. B. MONTEIRO","ACRICENTER"
2154,000,"ELETRIC BOX",
2014,000,"REUNIDAS TRANSPORTADORA","REUNIDAS TRANSPORTADORA"
1013,000,"TELEFONICA BRASIL S.A","VIVO"
1943,000,"DARF 5993 IRPJ",
2101,000,"CREA CONS REG DE ENGENHARIA E AGRON DO RS","CREA"
383,000,"COFIBAM INDÚSTRIA E COM.DE FIOS E CABOS","COFIBAM"
2396,000,"ROBOTER IN",
420,000,"MATRIFIOS FABRICACAO DE MATRIZES LTDA ME","MATRIFIOS"
426,000,"ELSTER MEDICAO DE ENERGIA LTDA",""
428,000,"JANONI RIBEIRO LEMOS EPP","JR COMERCIAL DE ACO"
436,000,"MECAL BRAS LTDA",""
448,000,"WEG EQUIPAMENTOS ELETRICOS S.A - 448","WEG AUTOMAÇÃO"
984,000,"GCE COMERCIO INTERNACIONAL DE PAPEIS LTDA","ECOQUALITY"
2139,000,"DARF 5979- PIS",
2011,000,"DMI INTERNATIONAL BUSINESS LTDA",
2126,000,"VEXILON EMBLEMAS E GRAFICOS",
464,000,"COMEXI DO BRASIL LTDA","COMEXI"
2092,000,"KONECTRIX INDUSTRIAL LTDA ME","KONECTRIX INDUSTRIAL LTDA ME"
964,000,"W4 ARQUITETURA CRIATIVA LTDA - ME","W4 ARQUITETURA CRIATIVA"
516,000,"KOTEK ELETRO ELETRONICA LTDA","KOTEK"
1366,000,"HERRMANN GMBH","HERRMANN GMBH"
550,000,"MICROCONTROL ELETRONICA LTDA","MICROCONTROL"
556,000,"RIO GRANDE ENERGIA S/A","RGE"
1095,000,"CDC BRASIL DISTRIB. DE TEC. ESPECIAIS LTDA","SCANSOURCE DO BRASIL"
2249,000,"KRAUS-MULLER IND. E COMÉRCIO LTDA.","KRAUS-MULLER"
585,000,"BRASPRESS TRANSPORTES URGENTES   RS",""
2267,000,"HAZIME & COMPANHIA LTDA - EPP","HAZIME ENXOVAIS"
591,000,"PARKS SA COMUNICACOES DIGITAIS","PARKS"
1619,000,"GIOVENZANA DO BRASIL COMERCIO DE PRODUTOS ELETROMECANICOS LT","GIOVENZANA DO BRASIL"
2268,000,"TECH SHOP.COM.BR COMERCIO E SERVICOS DE INFORMATICA LTDA","TECH SHOP.COM.BR"
640,000,"DELTA FRIO INDUSTRIA DE REFRIGERACAO LTDA ME","DELTA FRIO"
661,000,"SIGHRA TECNOLOGIA EM RASTREAMENTO LTDA","SIGHRA SITEMAS INOVADORES"
2179,000," EMPRESTIMO SANTANDER",
1352,000,"SASSI PRODUTOS ELETRICOS LTDA","SASSI"
1694,000,"ALFAELECTRIC","ALFAELECTRIC"
731,000,"MRD TOOLS LTDA. - ME","MRD TOOLS"
745,000,"THYSSENKRUPP ELEVADORES S/A - RS CENTRAL SUL","THYSSEN - CENTRAL SUL"
1900,000,"ARCO PRE-MOLDADOS LTDA - ME","ARCO PRE-MOLDADOS"
