,CPD_CHICOTE,CPD_MP,SUM
0,44868.0,5741.0,2.7
1,44868.0,5749.0,1.33
2,44868.0,5750.0,3.405
3,44868.0,5751.0,2.7
4,44868.0,9666.0,1.0
5,44868.0,36550.0,8.0
6,44868.0,36760.0,4.0
7,44868.0,36809.0,1.0
8,44868.0,37259.0,0.055
9,44868.0,44921.0,1.0
10,44868.0,44922.0,7.0
11,44868.0,44923.0,7.0
12,44868.0,44984.0,1.0
13,44868.0,45180.0,1.2
14,44868.0,72473.0,1.0
15,44868.0,85820.0,0.76
16,44869.0,5741.0,12.045
17,44869.0,5745.0,1.62
18,44869.0,5746.0,0.81
19,44869.0,5749.0,0.87
20,44869.0,5750.0,4.265
21,44869.0,5751.0,12.805
22,44869.0,5753.0,0.81
23,44869.0,6365.0,2.0
24,44869.0,7324.0,6.005
25,44869.0,7559.0,4.88
26,44869.0,7754.0,0.65
27,44869.0,7755.0,5.075
28,44869.0,9666.0,1.0
29,44869.0,9989.0,1.62
30,44869.0,16692.0,24.0
31,44869.0,16698.0,1.0
32,44869.0,16699.0,2.0
33,44869.0,17233.0,11.0
34,44869.0,29958.0,2.0
35,44869.0,36487.0,1.0
36,44869.0,36550.0,9.0
37,44869.0,36554.0,2.0
38,44869.0,36634.0,2.0
39,44869.0,36722.0,2.0
40,44869.0,36760.0,11.0
41,44869.0,36786.0,8.0
42,44869.0,36788.0,1.0
43,44869.0,36809.0,2.0
44,44869.0,36812.0,1.0
45,44869.0,36814.0,1.0
46,44869.0,36821.0,1.0
47,44869.0,36998.0,0.82
48,44869.0,37252.0,0.11
49,44869.0,37261.0,0.055
50,44869.0,37262.0,0.055
51,44869.0,44145.0,3.0
52,44869.0,44425.0,1.0
53,44869.0,44770.0,1.0
54,44869.0,44924.0,1.0
55,44869.0,45169.0,1.0
56,44869.0,45180.0,0.1
57,44869.0,45182.0,3.7
58,44869.0,45190.0,0.85
59,44869.0,45946.0,0.35
60,44869.0,69455.0,1.0
61,44869.0,72218.0,1.0
62,44869.0,72230.0,1.0
63,44869.0,72473.0,1.0
64,44869.0,85820.0,5.05
65,50125.0,9666.0,1.0
66,50125.0,12452.0,2.0
67,50125.0,12454.0,2.0
68,50125.0,37896.0,4.0
69,50125.0,42346.0,4.0
70,50125.0,44774.0,16.0
71,50125.0,49498.0,1.0
72,50125.0,50057.0,1.0
73,50125.0,50059.0,0.001
74,50125.0,50069.0,2.54
75,50125.0,50074.0,2.0
76,50125.0,50077.0,1.0
77,50125.0,50079.0,1.0
78,50125.0,50104.0,2.0
79,50125.0,50127.0,1.0
80,50125.0,50128.0,1.0
81,50125.0,52103.0,2.0
82,50125.0,54910.0,16.0
83,50125.0,55966.0,2.0
84,53326.0,7307.0,2.015
85,53326.0,7308.0,2.015
86,53326.0,7323.0,0.87
87,53326.0,9666.0,1.0
88,53326.0,9988.0,0.87
89,53326.0,16692.0,2.0
90,53326.0,17226.0,4.0
91,53326.0,17232.0,2.0
92,53326.0,17233.0,2.0
93,53326.0,36550.0,2.0
94,53326.0,36554.0,4.0
95,53326.0,36816.0,1.0
96,53326.0,37000.0,2.015
97,53326.0,37012.0,2.015
98,53326.0,45180.0,1.83
99,53326.0,46580.0,1.0
100,53326.0,46704.0,1.0
101,53326.0,46705.0,1.0
102,53326.0,51169.0,1.0
103,53326.0,53307.0,1.0
104,53326.0,64863.0,1.0
105,53326.0,85820.0,1.235
106,63694.0,1718.0,1.0
107,63694.0,1916.0,1.0
