,CPD_MP,OC,FORNECEDOR,QTD_PENDENTE_OC,ENTREGA,SIMBOLO,VALOR_TOTAL
0,819.0,107019.0,CRIMPER DO BRASIL TERM E CONEC ELET LTDA,100.0,2020-02-24,R$,18.0
1,907.0,106697.0,ARROW BRASIL S.A,20000.0,2020-02-24,R$,1158.0
2,907.0,107181.0,ARROW BRASIL S.A,40000.0,2020-03-23,R$,2316.0
3,907.0,107511.0,ARROW BRASIL S.A,20000.0,2020-03-09,R$,1158.0
4,1062.0,106883.0,ARROW BRASIL S.A,2000.0,2020-02-24,R$,1022.0
5,1062.0,107014.0,ARROW BRASIL S.A,4000.0,2020-02-17,R$,2044.0
6,3111.0,104254.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,20000.0,2020-03-09,R$,514.0
7,5741.0,106655.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,2000.0,2020-02-25,R$,425.4
8,5745.0,106656.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,1000.0,2020-02-25,R$,212.7
9,5746.0,106657.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,1000.0,2020-02-25,R$,212.7
10,5749.0,106659.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,1000.0,2020-02-25,R$,212.7
11,5750.0,106660.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,1000.0,2020-02-25,R$,212.7
12,5751.0,106661.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,3000.0,2020-02-25,R$,638.1
13,5753.0,106663.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,1000.0,2020-02-25,R$,212.7
14,5754.0,106662.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,1000.0,2020-02-25,R$,212.7
15,5754.0,106662.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,2000.0,2020-02-18,R$,425.4
16,7307.0,106799.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,800.0,2020-02-25,R$,766.16
17,7308.0,106801.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,800.0,2020-02-25,R$,766.16
18,7324.0,106783.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,100.0,2020-02-25,R$,41.949999999999996
19,7325.0,107235.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,800.0,2020-02-25,R$,335.59999999999997
20,7325.0,107549.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,800.0,2020-03-10,R$,335.59999999999997
21,7754.0,107238.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,1000.0,2020-02-25,R$,561.1
22,7754.0,107238.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,1000.0,2020-03-03,R$,561.1
23,7755.0,106792.0,BELCABOS INDÚSTRIA DE CONDUTORES ELÉTRICOS LTDA,1000.0,2020-02-25,R$,561.1
24,9666.0,107675.0,PRADO INDUSTRIA GRAFICA LTDA-EPP,25.0,2020-03-03,R$,1432.5
25,9983.0,106774.0,CONDVOLT IND DE CONDUTORES ELETRICOS LTDA,1000.0,2020-02-20,R$,396.0
26,9983.0,106774.0,CONDVOLT IND DE CONDUTORES ELETRICOS LTDA,1000.0,2020-04-24,R$,396.0
27,9983.0,106774.0,CONDVOLT IND DE CONDUTORES ELETRICOS LTDA,1000.0,2020-06-15,R$,396.0
28,16692.0,103777.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-03-09,R$,2052.8
29,16692.0,105216.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-04-06,R$,2052.8
30,16692.0,106613.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-04-27,R$,2052.8
31,16692.0,106613.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-05-04,R$,2052.8
32,16692.0,107460.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-05-18,R$,2052.8
33,16698.0,103541.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,110.0,2020-03-30,R$,1032.262
34,16698.0,104007.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,65.0,2020-03-02,R$,609.973
35,16698.0,105412.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,95.0,2020-04-06,R$,891.499
36,16698.0,106388.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,70.0,2020-04-20,R$,656.894
37,16698.0,106841.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,60.0,2020-04-27,R$,563.052
38,16698.0,106841.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,230.0,2020-05-04,R$,2158.366
39,16698.0,107275.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,25.0,2020-05-11,R$,234.605
40,16699.0,103540.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,50.0,2020-02-24,R$,359.71000000000004
41,16699.0,103540.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,330.0,2020-03-02,R$,2374.0860000000002
42,16699.0,104006.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,90.0,2020-03-02,R$,647.4780000000001
43,16699.0,104959.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,440.0,2020-04-06,R$,3165.4480000000003
44,16699.0,106387.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,345.0,2020-04-20,R$,2481.9990000000003
45,16699.0,106840.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,500.0,2020-05-04,R$,3597.1000000000004
46,16699.0,106986.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,100.0,2020-03-02,R$,719.4200000000001
47,16699.0,107035.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,300.0,2020-03-02,R$,2158.26
48,17232.0,103332.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,2000.0,2020-02-24,R$,224.0
49,17232.0,103332.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,2000.0,2020-03-02,R$,224.0
50,17232.0,104249.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,2000.0,2020-03-16,R$,224.0
51,17232.0,105217.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,4000.0,2020-04-13,R$,448.0
52,17233.0,105203.0,TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,50000.0,2020-04-06,R$,9585.0
53,19498.0,106887.0,SECCON INDUSTRIA COMERCIO LTDA,6000.0,2020-03-02,US$,201.6
