,CPD_MP,CPD_CHICOTE,CODIGO_CHICOTE,ENTREGA,SEMANA_ENTREGA,OP,CLIENTE,COMPROMETIDO
122,907.0,9198.0,3Y.0563.NT.5,,342019,110702.0,THYSSENKRUPP ELEVADORES S/A,36.0
178,907.0,18456.0,3W.0565.EH.26,,032020,114218.0,THYSSENKRUPP ELEVADORES S/A,64.0
185,907.0,18457.0,3W.0565.EH.3,,242019,109598.0,THYSSENKRUPP ELEVADORES S/A,580.0
201,907.0,18464.0,3W.0565.EH.9,,242019,109606.0,THYSSENKRUPP ELEVADORES S/A,616.0
224,907.0,18470.0,3W.0565.EH.8,,212019,108692.0,THYSSENKRUPP ELEVADORES S/A,22.0
232,907.0,18471.0,3W.0565.EH.14,,242018,101797.0,THYSSENKRUPP ELEVADORES S/A,120.0
242,907.0,18472.0,3W.0565.EH.23,,342018,103540.0,THYSSENKRUPP ELEVADORES S/A,15.0
251,907.0,18473.0,3W.0565.EH.34,,442018,104768.0,THYSSENKRUPP ELEVADORES S/A,105.0
271,907.0,18475.0,3W.0565.EH.39,,202018,101205.0,THYSSENKRUPP ELEVADORES S/A,252.0
272,907.0,18475.0,3W.0565.EH.39,,512019,113853.0,THYSSENKRUPP ELEVADORES S/A,180.0
284,907.0,18476.0,3W.0565.EH.53,,012019,108542.0,THYSSENKRUPP ELEVADORES S/A,106.0
337,907.0,18759.0,3W.0565.EH.40,,012020,113460.0,THYSSENKRUPP ELEVADORES S/A,3.0
365,907.0,18773.0,3W.0565.EH.27,,242019,109596.0,THYSSENKRUPP ELEVADORES S/A,16.0
388,907.0,20226.0,3W.0565.EH.50,,042020,114382.0,THYSSENKRUPP ELEVADORES S/A,18.0
393,907.0,20345.0,3W.0565.EH.49,,342019,110692.0,THYSSENKRUPP ELEVADORES S/A,3.0
422,907.0,24193.0,3X.0565.FG.122,,242019,109649.0,THYSSENKRUPP ELEVADORES S/A,8.0
439,907.0,25535.0,3X.0565.FG.23,,472019,113065.0,THYSSENKRUPP ELEVADORES S/A,20.0
458,907.0,26084.0,3X.0565.FG.3,,242019,109669.0,THYSSENKRUPP ELEVADORES S/A,10.0
461,907.0,26087.0,3X.0565.FG.5,,242019,109673.0,THYSSENKRUPP ELEVADORES S/A,10.0
463,907.0,26090.0,3X.0565.FG.10,,242019,109644.0,THYSSENKRUPP ELEVADORES S/A,10.0
465,907.0,26091.0,3X.0565.FG.11,,242019,109645.0,THYSSENKRUPP ELEVADORES S/A,120.0
466,907.0,26091.0,3X.0565.FG.11,,362019,110859.0,THYSSENKRUPP ELEVADORES S/A,10.0
503,907.0,26092.0,3X.0565.FG.13,,102020,114890.0,THYSSENKRUPP ELEVADORES S/A,130.0
536,907.0,26180.0,3X.0565.FG.121,,242019,109648.0,THYSSENKRUPP ELEVADORES S/A,28.0
563,907.0,26187.0,3X.0565.FG.123,,102020,114882.0,THYSSENKRUPP ELEVADORES S/A,38.0
611,907.0,28895.0,3Z.0565.HA.2,,012020,113369.0,THYSSENKRUPP ELEVADORES S/A,11.0
625,907.0,29471.0,3Y.0565.DY.38,,342014,59649.0,THYSSENKRUPP ELEVADORES S/A,4.0
669,907.0,35082.0,3W.0565.FK.370,,332019,110497.0,THYSSENKRUPP ELEVADORES S/A,4.0
670,907.0,35082.0,3W.0565.FK.370,,332019,110497.0,THYSSENKRUPP ELEVADORES S/A,17.0
726,907.0,35251.0,3W.0565.FJ.53,,242019,109609.0,THYSSENKRUPP ELEVADORES S/A,9.0
727,907.0,35251.0,3W.0565.FJ.53,,342019,110693.0,THYSSENKRUPP ELEVADORES S/A,18.0
775,907.0,35933.0,3W.0565.EH.81,,242019,109602.0,THYSSENKRUPP ELEVADORES S/A,33.0
791,907.0,35935.0,3W.0565.EH.85,,242019,109603.0,THYSSENKRUPP ELEVADORES S/A,696.0
854,907.0,37970.0,3Y.0565.JX.4,,242019,109711.0,THYSSENKRUPP ELEVADORES S/A,64.0
875,907.0,37971.0,3Y.0565.JX.5,,242019,109712.0,THYSSENKRUPP ELEVADORES S/A,520.0
876,907.0,37971.0,3Y.0565.JX.5,,522017,97181.0,THYSSENKRUPP ELEVADORES S/A,64.0
911,907.0,37974.0,3Y.0565.JX.8,,342019,110725.0,THYSSENKRUPP ELEVADORES S/A,16.0
950,907.0,40732.0,3Y.0565.KL.9,,522017,97182.0,THYSSENKRUPP ELEVADORES S/A,162.0
958,907.0,40733.0,3Y.0565.KL.10,,242019,109254.0,THYSSENKRUPP ELEVADORES S/A,54.0
959,907.0,40733.0,3Y.0565.KL.10,,432017,95729.0,THYSSENKRUPP ELEVADORES S/A,54.0
970,907.0,40734.0,3Y.0565.KL.11,,402019,111729.0,THYSSENKRUPP ELEVADORES S/A,54.0
980,907.0,40735.0,3Y.0565.KL.12,,522017,97173.0,THYSSENKRUPP ELEVADORES S/A,216.0
992,907.0,40736.0,3Y.0565.KL.13,,522017,97173.0,THYSSENKRUPP ELEVADORES S/A,54.0
1004,907.0,40737.0,3Y.0565.KL.14,,522017,97173.0,THYSSENKRUPP ELEVADORES S/A,54.0
1015,907.0,40738.0,3Y.0565.KL.15,,522017,97173.0,THYSSENKRUPP ELEVADORES S/A,216.0
1030,907.0,40739.0,3Y.0565.KL.16,,522017,97173.0,THYSSENKRUPP ELEVADORES S/A,216.0
1038,907.0,40740.0,3Y.0565.KL.17,,022020,113788.0,THYSSENKRUPP ELEVADORES S/A,54.0
1039,907.0,40740.0,3Y.0565.KL.17,,522017,97173.0,THYSSENKRUPP ELEVADORES S/A,54.0
1049,907.0,40741.0,3Y.0565.KL.18,,212019,109201.0,THYSSENKRUPP ELEVADORES S/A,54.0
1074,907.0,40744.0,3Y.0565.KL.21,,212019,109201.0,THYSSENKRUPP ELEVADORES S/A,108.0
1085,907.0,40745.0,3Y.0565.KL.22,,012020,113624.0,THYSSENKRUPP ELEVADORES S/A,54.0
1086,907.0,40745.0,3Y.0565.KL.22,,212019,109201.0,THYSSENKRUPP ELEVADORES S/A,54.0
1094,907.0,40746.0,3Y.0565.KL.23,,492017,97172.0,THYSSENKRUPP ELEVADORES S/A,54.0
1101,907.0,40747.0,3Y.0565.KL.24,,212019,109201.0,THYSSENKRUPP ELEVADORES S/A,54.0
1108,907.0,40748.0,3Y.0565.KL.25,,212019,109201.0,THYSSENKRUPP ELEVADORES S/A,54.0
1125,907.0,40750.0,3Y.0565.KL.27,,042019,106173.0,THYSSENKRUPP ELEVADORES S/A,54.0
1131,907.0,40751.0,3Y.0565.KL.28,,022020,113790.0,THYSSENKRUPP ELEVADORES S/A,54.0
1138,907.0,40752.0,3Y.0565.KL.29,,402018,103934.0,THYSSENKRUPP ELEVADORES S/A,54.0
1149,907.0,40754.0,3Y.0565.KL.31,,442019,112261.0,THYSSENKRUPP ELEVADORES S/A,54.0
1194,907.0,42014.0,3W.0565.HK.43,,022020,113785.0,THYSSENKRUPP ELEVADORES S/A,4.0
1195,907.0,42163.0,3X.0565.FG.301,,242019,109670.0,THYSSENKRUPP ELEVADORES S/A,8.0
1202,907.0,42248.0,3W.0565.EH.109,,362019,111020.0,THYSSENKRUPP ELEVADORES S/A,22.0
1211,907.0,42470.0,3Y.0565.GL.94,,182019,108283.0,THYSSENKRUPP ELEVADORES S/A,80.0
1247,907.0,46893.0,3Z.0565.LF.2,,342019,110712.0,THYSSENKRUPP ELEVADORES S/A,24.0
1248,907.0,46893.0,3Z.0565.LF.2,,492019,113068.0,THYSSENKRUPP ELEVADORES S/A,3.0
1275,907.0,46895.0,3Z.0565.LF.6,,012020,113526.0,THYSSENKRUPP ELEVADORES S/A,3.0
1327,907.0,46979.0,3W.0565.KT.360,,342019,110694.0,THYSSENKRUPP ELEVADORES S/A,126.0
1338,907.0,46980.0,3W.0565.KT.361,,342019,110695.0,THYSSENKRUPP ELEVADORES S/A,168.0
1347,907.0,46981.0,3W.0565.KT.362,,242019,109619.0,THYSSENKRUPP ELEVADORES S/A,42.0
1365,907.0,46982.0,3W.0565.KT.363,,522019,113458.0,THYSSENKRUPP ELEVADORES S/A,42.0
1376,907.0,46983.0,3W.0565.KT.364,,342019,110695.0,THYSSENKRUPP ELEVADORES S/A,84.0
1386,907.0,46984.0,3W.0565.KT.365,,342019,110695.0,THYSSENKRUPP ELEVADORES S/A,42.0
1394,907.0,46985.0,3W.0565.KT.366,,342019,110695.0,THYSSENKRUPP ELEVADORES S/A,42.0
1395,907.0,46985.0,3W.0565.KT.366,,482019,112880.0,THYSSENKRUPP ELEVADORES S/A,42.0
1421,907.0,46987.0,3W.0565.KT.368,,522019,113458.0,THYSSENKRUPP ELEVADORES S/A,46.0
1429,907.0,46988.0,3W.0565.KT.369,,482019,112881.0,THYSSENKRUPP ELEVADORES S/A,46.0
1430,907.0,46988.0,3W.0565.KT.369,,522019,113458.0,THYSSENKRUPP ELEVADORES S/A,46.0
1487,907.0,47245.0,3W.0565.KW.660,,312019,110223.0,THYSSENKRUPP ELEVADORES S/A,86.0
1489,907.0,47596.0,3Y.0565.AY.61,,492019,113089.0,THYSSENKRUPP ELEVADORES S/A,4.0
1505,907.0,47712.0,3Y.0565.LK.15,,492019,113454.0,THYSSENKRUPP ELEVADORES S/A,136.0
