,CPD_MP,CPD_CHICOTE,CODIGO_CHICOTE,ENTREGA,SEMANA_ENTREGA,OP,CLIENTE,COMPROMETIDO
0,800.0,49686.0,3Z.0564.RE.2,2020-07-08,,116626.0,THYSSENKRUPP ELEVADORES S/A,1.0
1,800.0,76859.0,1255545,2020-06-16,,116309.0,MAQUINAS AGRICOLAS JACTO S/A,6.0
2,800.0,76859.0,1255545,2020-06-18,,116447.0,MAQUINAS AGRICOLAS JACTO S/A,6.0
3,800.0,76859.0,1255545,2020-06-22,,116448.0,MAQUINAS AGRICOLAS JACTO S/A,6.0
4,800.0,76859.0,1255545,2020-06-25,,116752.0,MAQUINAS AGRICOLAS JACTO S/A,6.0
5,800.0,76859.0,1255545,2020-06-26,,116762.0,MAQUINAS AGRICOLAS JACTO S/A,6.0
6,800.0,76859.0,1255545,2020-06-29,,116762.0,MAQUINAS AGRICOLAS JACTO S/A,6.0
7,800.0,76859.0,1255545,2020-06-29,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,22.0
8,800.0,76859.0,1255545,2020-06-30,,116762.0,MAQUINAS AGRICOLAS JACTO S/A,2.0
9,800.0,76859.0,1255545,2020-06-30,,116762.0,MAQUINAS AGRICOLAS JACTO S/A,6.0
10,800.0,76859.0,1255545,2020-07-01,,116437.0,MAQUINAS AGRICOLAS JACTO S/A,6.0
11,800.0,76859.0,1255545,2020-07-01,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,50.0
12,800.0,76859.0,1255545,2020-07-03,,116802.0,MAQUINAS AGRICOLAS JACTO S/A,2.0
13,800.0,76859.0,1255545,2020-07-03,,116802.0,MAQUINAS AGRICOLAS JACTO S/A,6.0
14,800.0,76859.0,1255545,2020-08-03,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,54.0
15,800.0,76859.0,1255545,2020-08-03,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,60.0
16,800.0,85836.0,1264838,2020-07-01,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,8.0
17,800.0,85836.0,1264838,2020-08-03,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,20.0
18,800.0,85836.0,1264838,2020-08-03,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,34.0
19,800.0,164153.0,1247693,2020-07-17,,116731.0,MAQUINAS AGRICOLAS JACTO S/A,20.0
20,800.0,165519.0,4120956 (8820116),2020-12-12,,114869.0,DATATECK INDUSTRIA E COMERCIO LTDA,108.0
21,800.0,171376.0,0213.4750.001,2020-12-31,,116459.0,CAIO INDUSCAR INDÚSTRIA E COMÉRCIO DE CARROCERIAS LTDA,240.0
22,819.0,10129.0,3W.0565.AJ.2,2020-06-05,,116566.0,THYSSENKRUPP ELEVADORES S/A,6.0
23,819.0,10129.0,3W.0565.AJ.2,2020-06-05,,116618.0,THYSSENKRUPP ELEVADORES S/A,12.0
24,819.0,51362.0,3Y.0565.HW.9,2020-06-10,,116754.0,THYSSENKRUPP ELEVADORES S/A,4.0
25,819.0,76862.0,1255544,2020-06-24,,116443.0,MAQUINAS AGRICOLAS JACTO S/A,3.0
26,819.0,76862.0,1255544,2020-06-24,,116443.0,MAQUINAS AGRICOLAS JACTO S/A,9.0
27,819.0,76862.0,1255544,2020-06-25,,116575.0,MAQUINAS AGRICOLAS JACTO S/A,9.0
28,819.0,76862.0,1255544,2020-06-29,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,6.0
29,819.0,76862.0,1255544,2020-06-29,,116741.0,MAQUINAS AGRICOLAS JACTO S/A,9.0
30,819.0,76862.0,1255544,2020-06-30,,116759.0,MAQUINAS AGRICOLAS JACTO S/A,9.0
31,819.0,76862.0,1255544,2020-07-01,,116759.0,MAQUINAS AGRICOLAS JACTO S/A,9.0
32,819.0,76862.0,1255544,2020-07-01,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,102.0
33,819.0,76862.0,1255544,2020-07-02,,116759.0,MAQUINAS AGRICOLAS JACTO S/A,3.0
34,819.0,76862.0,1255544,2020-07-02,,116759.0,MAQUINAS AGRICOLAS JACTO S/A,9.0
35,819.0,76862.0,1255544,2020-08-03,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,81.0
36,819.0,76862.0,1255544,2020-08-03,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,90.0
37,819.0,87584.0,1264840,2020-07-01,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,15.0
38,819.0,87584.0,1264840,2020-08-03,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,39.0
39,819.0,87584.0,1264840,2020-08-03,,116764.0,MAQUINAS AGRICOLAS JACTO S/A,57.0
40,819.0,93388.0,63791,2020-06-24,,115324.0,PLA MÁQUINAS PULVERIZADORAS E FERTILIZANTES S/A,3.0
41,819.0,93388.0,63791,2020-06-30,,115578.0,PLA MÁQUINAS PULVERIZADORAS E FERTILIZANTES S/A,9.0
42,819.0,93388.0,63791,2020-07-02,,115324.0,PLA MÁQUINAS PULVERIZADORAS E FERTILIZANTES S/A,3.0
43,819.0,93388.0,63791,2020-07-07,,115324.0,PLA MÁQUINAS PULVERIZADORAS E FERTILIZANTES S/A,3.0
44,819.0,93388.0,63791,2020-07-15,,115577.0,PLA MÁQUINAS PULVERIZADORAS E FERTILIZANTES S/A,33.0
45,819.0,164172.0,1247694,2020-07-17,,116730.0,MAQUINAS AGRICOLAS JACTO S/A,30.0
46,819.0,165942.0,8831351,2020-12-12,,114869.0,DATATECK INDUSTRIA E COMERCIO LTDA,33.0
47,819.0,171367.0,0213.4112.005,2020-12-31,,116459.0,CAIO INDUSCAR INDÚSTRIA E COMÉRCIO DE CARROCERIAS LTDA,240.0
48,907.0,1109.0,3Y.0564.AT.1,2020-06-01,,116508.0,THYSSENKRUPP ELEVADORES S/A,2.0
49,907.0,1109.0,3Y.0564.AT.1,2020-06-05,,116618.0,THYSSENKRUPP ELEVADORES S/A,2.0
50,907.0,1258.0,3Y.0564.GP.10,2020-06-22,,116845.0,THYSSENKRUPP ELEVADORES S/A,4.0
51,907.0,1322.0,3Y.0564.GP.19,2020-06-16,,116799.0,THYSSENKRUPP ELEVADORES S/A,12.0
52,907.0,2031.0,3Y.0564.AT.3,2020-05-08,,116200.0,THYSSENKRUPP ELEVADORES S/A,6.0
53,907.0,2031.0,3Y.0564.AT.3,2020-06-01,,116521.0,THYSSENKRUPP ELEVADORES S/A,2.0
54,907.0,2146.0,3X.0564.LJ.1,2020-02-14,,114896.0,THYSSENKRUPP ELEVADORES S/A,27.0
55,907.0,2146.0,3X.0564.LJ.1,2020-05-08,,116200.0,THYSSENKRUPP ELEVADORES S/A,9.0
56,907.0,2148.0,3X.0564.LG.1,2020-02-14,,114896.0,THYSSENKRUPP ELEVADORES S/A,36.0
57,907.0,2148.0,3X.0564.LG.1,2020-05-08,,116200.0,THYSSENKRUPP ELEVADORES S/A,12.0
58,907.0,2153.0,3X.0564.LG.6,2020-03-23,,114896.0,THYSSENKRUPP ELEVADORES S/A,168.0
59,907.0,2153.0,3X.0564.LG.6,2020-05-06,,116200.0,THYSSENKRUPP ELEVADORES S/A,28.0
60,907.0,2183.0,3X.0564.LJ.6,2020-05-06,,115956.0,THYSSENKRUPP ELEVADORES S/A,18.0
