,4831.0,6273.0,32281.0,36520.0,36631.0,36633.0,36636.0,36683.0,36687.0,36755.0,36757.0,36764.0,36814.0,38375.0,38420.0,42462.0,44846.0,45086.0,45088.0,45102.0,46163.0,48413.0,56855.0,57295.0,79859.0,92500.0,93364.0,93365.0,94567.0,94568.0,94569.0,94570.0,94571.0,163070.0,163078.0,163086.0,163087.0,163088.0,163089.0,163090.0,163092.0,163093.0,163094.0,163095.0,163096.0,163097.0,163099.0,163100.0,163101.0,163102.0,163103.0,163104.0,163105.0,163106.0,163107.0,163108.0,163109.0,163110.0,163111.0,163112.0,163113.0,163114.0,163115.0,163116.0,163117.0,163118.0,163119.0,163120.0,163121.0,163124.0,163125.0,163127.0,163128.0,163129.0,163130.0,163131.0,163132.0,163133.0,163134.0,163135.0,163136.0,163137.0,163138.0,163143.0,163146.0,163147.0,163148.0,163149.0,163151.0,163152.0,163153.0,163154.0,163155.0,163156.0,163157.0,163158.0,163159.0,163160.0,163161.0,163162.0,163164.0,163165.0,163166.0,163167.0,163168.0,163169.0,163170.0,163171.0,163172.0,163173.0,163174.0,163175.0,163176.0,163177.0,163178.0,163179.0,163180.0,163181.0,163182.0,163184.0,163185.0,163186.0,163187.0,163188.0,163189.0,163190.0,163191.0,163192.0,163193.0,163194.0,163195.0,163196.0,163197.0,163198.0,163199.0,163200.0,163201.0,163202.0,163203.0,163204.0,163205.0,163206.0,163207.0,163208.0,163209.0,163210.0,163211.0,163212.0,163213.0,163216.0,163217.0,163218.0,163222.0,163233.0,163234.0,163236.0,163237.0,163238.0,163239.0,163240.0,163242.0,163247.0,163248.0,163252.0,163253.0,163254.0,164133.0,164142.0,164143.0,164640.0,164644.0,164645.0,165480.0,166126.0,166127.0,166128.0,166134.0,166135.0,166137.0,166141.0,166142.0,166144.0,166146.0,166147.0
item_partnumber,ESPAGUETE 08MM2 70ºC,PPC-A1S-10,AT7255,12048074,64323-1029,64325-1010,64325-1023,963531-1,964972-1,15324973,64320-1301,64322-1029,W4S-P012,282189-1,881773-1,PA6-A1S-12,PPC-A1S-25,HDP24-24-21PE,DRC26-50S04,0528-001-5005,2414-002-1886,1011-348-0805,HD10-9-1939P-B022,776164-1,VC2-01,34345-0001,ETIQ TYVEK 100X30MM,ETIQ TYVEK 70X20MM,WA1/2VM 12MM VM,HC5728,HC5881,HC5736,HC5899,HDP26-18-14PE-L017,2428-015-1805,DT06-4S-CE05,CI12-90-DT4,TPS120812,TPS121612,YPS120808,DT06-6S-CE05,DT06-2S-CE05,DT06-08SA-CE11,106462-1,HDP26-24-31SE-L015,CI08-DT2,CI12-DT6,CI12-DT4,CI12-90-AM2,HFX-261,YPS121208,YPS080808,YPS121212,TPS161212,TPS162016,TPS121212,HDP26-24-18SE-L015,HDP26-24-19SE-L015,12052643,4540345,4540315,F1707660,F1707670,FITA ISOLANTE (VERMELHA),ESN20,JPS2012,EK03-08,CI12-DT8,FHAC0002LXN (F0300336),CI08-90-DT3,DT06-3S-CE05,YPS282020,TPS282828,TPS281228,EK05,TPS281625,TPS252025,YPS252012,TPS201216,TPS160812,TPS161216,TPS121010,2410/0114,YPS161212,CI08-AM2,CI08-90-AM2,CI08-90-AS2,CI08-90-AS3,HDP26-24-23PE-L015,09430010,22124472200040,10800444521091,10800472632091,HDP26-24-21SE-L015,YPS252512,YPS252520,EPS2525,TPS252520,TPS250825,CI201220-DRC50,CI08-90-AS4,CI12-AS2,CI16-LK20,EPS2012,DTP06-4S-C015,CI12-90-DTP04,TPS200816,TPS121208,DT06-3S-EP10,SEG12,2819652-1 / DT04-3P-CE03,776164-2,DT04-08PA-CE03,6189-0129,6918-0322,963598-1,14757-633-696,17250-050-000,17192-000-000,10700007 (TRS100.000.3  ),1500-0106,JC2-03,33472-2001,33472-2002,7165-0118,DT06-12SA-CE05,6189-0134,6189-0136,2310356-1 / HDP24-18-14SE,HDP24-24-23SE,HDP24-24-19PE,2310357-1 / HDP24-24-18PE,64320-1311,6189-0131,DT06-08SC-CE05,DT06-12SA-CE11,DTP06-4S-E003,754C-3,U2260,31617,31616,7105-0803,14910-633-696,14911-633-696,6918-0336,6918-0332,112264-ZZ,964732-1,964731-1,16291-578-698,6918-0326,7161-9787,926682-3,JPS2820,PPC-A1S-29,962876-1,28620-000-001,26222-201-179,26462-201-179,26231-331-179,280756-2,8240-4828,7165-0119,26187-123-178,33012-2002-MR,33001-3004-MR,931901-000 (2021D0309-0),F4545100,201.2672-01,HDC16-9-E004,DT04-12PA-CE03,DT04-08PC-CE01,ESN12,TPS080808,HC5730,IV 23614,HC5936,HC5981,7243/0313,OHBF0001ZXSEALB,HC5737,CORDOALHA,HC5883,HC5884
first_missing_date_balance,-644.1065000000001,-3833.140249999624,0.0,-767.1659999999999,-12.965000000000003,-1460.155,-20.499000000000002,-154.82500000000002,-291.653,-63.80000000000001,0.0,-19.0,-249.75,0.0,0.0,0.0,0.0,-0.6000000000000014,-4.333,-7.333,0.0,0.0,-2.0,0.0,0.0,-188.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-283.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.333,0.0,0.0,0.0,0.0,0.0,-6.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leadtime,14,14,14,14,77,84,105,84,84,14,84,42,84,28,14,14,14,84,84,84,84,84,84,84,14,49,14,14,14,84,84,84,84,84,84,84,14,14,84,84,84,84,84,84,84,14,14,14,14,91,84,14,84,84,84,84,84,84,98,98,98,14,14,14,84,14,84,14,14,14,84,84,84,84,84,84,84,84,84,14,84,84,14,84,14,14,14,84,84,28,14,14,14,84,84,84,14,14,84,84,84,14,84,84,84,84,84,84,84,84,28,84,14,147,42,84,14,14,14,28,14,14,126,105,42,84,14,14,28,84,84,28,119,14,84,84,84,14,91,840,840,147,14,14,14,14,84,84,84,14,14,14,84,84,14,84,14,14,14,14,84,14,147,14,133,98,84,14,14,84,14,14,28,14,14,14,14,14,42,14,14,14,14,14
item_needs_purchase_before_leadtime,True,True,True,,,,,,,,True,True,True,True,True,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
quantidade_falta,2679.3,23660.670999999995,0.0,1852.666,240.0,1500.0,168.999,283.32500000000005,464.653,75.0,62.333,756.665,705.0,124.331,45.332,0.0,0.0,18.0,11.333,11.333,11.333,11.333,59.333,70.333,806.662,260.659,1245.664,15450.948,4.73994,11.333,135.999,25.666,11.333,11.333,11.333,56.665000000000006,11.333,45.332,11.333,67.998,90.664,1038.326,45.332,11.333,11.333,119.33000000000001,33.999,22.666,33.999,45.332,33.999,11.333,22.666,33.999,11.333,45.332,11.333,11.333,11.333,67.666,67.666,157.998,112.666,3.1732400000000003,11.333,11.333,11.333,25.666,11.333,33.999,247.998,11.333,11.333,11.333,11.333,11.333,11.333,22.666,11.333,11.333,22.666,11.333,11.333,11.333,11.333,22.666,11.333,11.333,11.333,11.333,101.997,101.997,79.331,11.333,11.333,11.333,11.333,22.666,11.333,11.333,11.333,11.333,11.333,11.333,411.333,11.333,11.333,11.333,67.666,22.666,0.0,11.333,0.0,236.333,236.333,11.333,180.332,157.666,630.332,11.333,3916.328,56.333,11.333,11.333,2497.666,11.333,56.333,191.333,11.333,11.333,11.333,11.333,11.333,56.333,11.333,11.333,11.333,11.333,11.333,56.333,56.333,22.666,33.999,33.999,191.333,56.333,56.665,11.333,11.333,180.332,56.333,1766.333,11.333,11.333,19.03944,464.653,281.33299999999997,1386.3229999999999,2242.983,1981.992,144.0,619.663,2881.992,2734.995,79.331,113.33,109.02346,45.332,90.664,56.333,0.0,0.0,22.666,3.0,3.0,9.0,3.0,3.0,6.0,6.0,6.0,3.0,48.0,51.0
moeda,R$,R$,R$,US$,US$,US$,US$,US$,US$,R$,US$,US$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,US$,US$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,US$,US$,US$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,US$,R$,US$,US$,US$,R$,US$,US$,US$,US$,US$,R$,US$,US$,R$,R$,R$,R$,R$,US$,R$,R$,R$,US$,EU,EU,EU,R$,US$,US$,US$,US$,R$,US$,R$,US$,US$,US$,R$,R$,R$,R$,US$,US$,US$,US$,R$,US$,US$,US$,R$,R$,US$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,R$,US$,R$,R$,R$,R$
custo_unit,0.1238,0.42,3.126,0.0455,0.12062,0.05816,0.05118,0.10545,0.171,0.08612,0.374,0.10022,0.4387,2.0637,1.3405,1.26,1.65,48.4447,72.236,16.0859,4.33,8.4245,32.1606,20.0374,0.5059,0.12064,0.0863,0.018,10.3168,75.55,1.7571,24.16753,59.23653,38.18957,6.3401,12.525,2.9,3.99,2.73,3.66,7.8263,5.6442,13.7479,3.0937,55.66231,1.4,1.71,1.57,2.8,27.46,3.35,3.16,3.3,2.89,3.7,3.27,43.02,48.88609,3.0115,6.7,6.7,1.35,1.44,0.0963,10.9,4.7,2.42,3.08,5.32,3.51,6.7993,5.2,5.67,4.7,1.7,4.56,4.65,3.8,3.63,2.97,2.99,3.18,2.25,4.11,1.6,2.76,3.2,2.8,37.0324,20.74272,2.22,1.11,1.11,68.14776,4.79,5.53,5.67,3.8,4.84,14.9,4.2,1.6,5.48,3.39,14.2538,2.1,4.53,3.04,23.0131,3.65,7.3634,18.3841,17.00944,2.4308,0.12,26.6297,10.16,2.166,3.42,3.5714,0.047,1.221,2.80912,2.33492,0.068,18.90606,2.7,2.9,56.03675,53.95047,30.53833,49.19901,24.938,1.2,12.0616,17.03503,10.2192,4.46,4.6353,2.3616,2.3616,2.25,1.3585,2.468,0.54,0.54,3.5899,3.2005,4.8838,1.3585,0.54,0.051,0.95722,4.6,2.5,0.3137,0.1463,0.1976,0.427,0.1976,0.5423,0.069,0.044,0.2014,0.467,0.89,1.33,0.35,0.078,12.87105,16.28284,10.3348,11.42,3.52,17.0897,3.85,30.9462,1.8948,3.75,0.7404,17.4975,28.0,19.39497,24.6054
acao_sugerida,Antecipar/Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Antecipar/Comprar,Antecipar,Comprar,Comprar,Comprar,Comprar,Antecipar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar,Comprar
quantidade_antecipar,1200.0,,,,,,,,,,,200.0,1785.0,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item_moq,100.0,500.0,1.0,18000.0,1000.0,1000.0,300.0,2500.0,4100.0,100.0,100.0,500.0,5.0,1200.0,2000.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,40.0,140.0,1.0,500.0,1.0,1.0,25.0,1.0,100.0,500.0,100.0,40.0,1.0,1.0,50.0,1.0,50.0,1.0,1.0,400.0,1.0,1020.0,1.0,50.0,50.0,1.0,50.0,10.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,1.0,50.0,800.0,800.0,100.0,100.0,1.0,50.0,50.0,1.0,1.0,10.0,1.0,600.0,50.0,1.0,1.0,50.0,50.0,1.0,50.0,50.0,50.0,50.0,50.0,10.0,1.0,50.0,50.0,50.0,1.0,1.0,500.0,1.0,1.0,1.0,1.0,50.0,1.0,50.0,50.0,1.0,50.0,50.0,50.0,1.0,50.0,1.0,50.0,50.0,1.0,1.0,50.0,1.0,220.0,150.0,1.0,100.0,210.0,210.0,900.0,500.0,420.0,3000.0,1.0,10.0,1.0,2000.0,1.0,100.0,100.0,40.0,1.0,40.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,10.0,500.0,500.0,100.0,500.0,500.0,100.0,100.0,100.0,100.0,300.0,500.0,100.0,100.0,2000.0,50.0,1.0,12000.0,500.0,6000.0,6000.0,7200.0,6000.0,3000.0,100.0,13500.0,1.0,500.0,1.0,10.0,10000.0,1.0,1.0,1.0,100.0,10.0,100.0,1.0,100.0,100.0,1.0,1.0,100.0,1.0,100.0,100.0
