"";"PK_CAD";"TIPO_CLI";"TIPO_FAB";"TIPO_FOR";"TIPO_TRA";"TIPO_SERV";"TIPO_OUT";"RAZAO_SOCIAL";"FANTASIA";"CNPJ";"CPF";"INSC_EST";"INSC_MUM";"ENDERECO";"BAIRRO";"FK_CID";"CEP";"ENDE_COB";"BAIRRO_COB";"FK_CID_COB";"CEP_COB";"FONE1";"FONE2";"FAX";"HOMEPAGE";"FK_RAM";"LIMCREDITO";"OBSERVACAO";"FK_CADTRA";"FK_CPG";"TIPO_FRETE";"CREDITO_BLOQUEADO";"INATIVO";"FK_CPGREP";"FK_CADTRAREP";"TIPO_FRETE_REP";"CONS_INDUSTRIA";"DATA_CAD";"FK_USUCAD";"DATA_CAP_SOCIAL";"VLR_CAP_SOCIAL";"QTD_PROTESTOS";"QTD_CHQ_DEVOL";"OBSERV_CRED";"CONCEITO_CRED";"CONTATO_BANCO";"PER_ANA_CRED";"DT_ULT_AVALIACAO";"MATERIAL_COMPRA";"PERC_MAT_ESTOQUE";"PERC_MAT_ESPECIAL";"MOTIVO_RECADASTRO";"VAL_SOLIC_COMPRA";"FK_TPG";"DT_LIBFIN";"FK_USULIB";"AUDITVENDA";"ISENTOICMS";"MESESPRECO";"ISUF";"MALADIRETA";"FK_NAT";"OBS_LEGAL";"OBS_VENDA";"DDENTREGA";"FK_USUAVAL";"BLOQFATIPI";"SIMPLES";"SEMCOMPRA";"SEMCPR12";"IPI_PRIM";"CREDBLOQ";"FK_CAD_NOVO";"GERA_IPI";"DTRECCAD";"DTSOLCOMPL";"DTRECCOMPL";"DTTERMPROC";"AC_BLOQ";"AC_DEP";"FK_BCOCOB";"NAOAGRUPABLQ";"IMPRIME_FAB_ETIQ";"IMPRIME_DATAFAB_ETIQ";"FK_SUB";"FATUR_MINIMO";"MARKUP_MAODEOBRA";"MARKUP_MATPRIMA";"INTEGRACAO_XML";"REGIME_TRIBUTARIO";"INDUSTRIA_REVENDA";"TOLERANCIA_ANTECIPACAO";"TOLERANCIA_ATRASO";"NAOCONTRIBUINTE";"DIA_SEMANA_MRP";"OBS_PADRAO_OC";"REAJUSTE_LME";"REAJUSTE_DOLAR";"PERC_GATILHO";"REAJUSTE_CUSTO";"FREQUENCIA";"OBSERVACAO_REAJUSTE";"PLACA_PADRAO";"PLACA_PADRAO_UF";"TIPO_REAJUSTE_CABOS";"TIPO_REAJUSTE_OUTROS";"PERC_QTD_NFR_OC";"OBRIGAR_NFSE";"INCOTERM";"BANK_INFORMATION";"INVOICE_PAGTO_ANTECIP";"FK_MOE";"PRAZO_PAGAMENTO_PADRAO";"FOLLOWUP_AUTOMATICO";"CONSIDERA_PV_FLUXO_CAIXA";"DIA_SEMANA_VENCTO";"DIA_MES_VENCTO1";"DIA_MES_VENCTO2";"DIA_MES_VENCTO3";"FK_MAQ_PREFERENCIAL";"FK_NATCONSUMO"
0;4.0;"S";"S";"S";" ";" ";" ";"CONECSUL COM. I. E. DE COMP. ELET. LTDA";"CONECSUL COM. I. E. DE COMP. ELET. LTDA";"89.981.815/0001-02";"";"096/0785647";"";"AV CEARA, 1947";"SAO GERALDO";1.0;"90240512";"AV CEARA, 1947";"SAO GERALDO";1.0;"90240512";"(51) 3337.6120";"51-3337-7370";"51-33376192";"www.conecsul.com.br";2.0;55000.0;"PAGAMENTO NO BANCO ITAU
CONTA CORRETE PARA CONTA CORRENTE

CELULAR FINANCEIRO= 9969.6265
CELULAR VENDAS= 9999.642534911701 - ALENCASTRO
TELEFONE: (051) 3055-1278  (FILIAL CONECSUL).
seg e quinta. DS MULLER
BANRISUL
AG: 0843
C/C: 0605997509
SANTANDER
AG: 1005
C/C: 130010335";32.0;2.0;"C";"N";"N";"";"";" ";"I";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;4.0;"2010-09-17 00:00:00.000";1.0;"N";"N";0.0;"";"N";"";"";"";0.0;"";"N";"N";"N";"N";"N";"N";"";"S";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"P";"I";2;2.0;"N";"";"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"S";"";"";"";"";"";""
1;1653.0;"N";"S";"S";"N";"N";"N";"TELECAM COMUNICAÇÃO COM SEGURANÇA";"TELECAM";"04.051.666/0001-20";"";"244.859.870.119";"";"RUA LIBERATA BUENO VIEIRA, 12/32";"BOSQUE DAS PALMEIRAS";101.0;"13086734";"RUA LIBERATA BUENO VIEIRA, 12/32";"BOSQUE DAS PALMEIRAS";101.0;"13086734";"(19) 32571387";" 19 3757-1230";"";"";"";"";"Referências bancárias

Banco Bradesco
Gerente: Fúlvio
Agência: 2917-3
Telefone: (19) 3256.1313

• Banco Itaú
Gerente: Werica
Agência: 2711
Telefone: (19) 3255-2429";995.0;134.0;"F";"N";"N";134.0;884.0;"F";"";"2017-01-30 11:34:32.020";52.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";83.0;"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";80.0;"";"";"";"N";"";"";5;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";10.0;"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
2;13.0;" ";"S";" ";"S";" ";" ";"DATATECK INDUSTRIA E COMERCIO LTDA";"DATATECK";"03.697.945/0001-00";"";"0580097323";"21551";"ESTRADA COSTA GAMA. Nº 110.";"COLUMBIA CITY";10.0;"92717330";"EST DA COSTA GAMA. Nº 110.";"COLUMBIA CITY";10.0;"92717330";"(51) 3491.2803";"(51) 3491.3124";"(51) 3055 1085";"www.datateck.com.br";1.0;1000.0;"CONTA BANCOS
ITAÚ:
N° DO BANCO: 341
NOME DA AGÊNCIA: PORTO ALEGRE FARRAPOS'
AG.: 0328 
C/C: 71903-4 

BANCO SANTANDER
N° BANCO: 033 
AG: 1103 
C/C: 13.000629-6

BANRISUL
AG: 0843 
C/C: 06.060.076.0-6

CAIXA ECONOMICA FEDERAL
AG: 0479
C/C: 1884-8

BANCO BRADESCO
AG: 1972
C/C: 35530-5

BANCO DO BRASIL
AG: 342-5
C/C: 49496-8

BANCO SAFRA
AG:0007
C/C:00580622-3

TELEFONES GVT:
3055-1085
3055-2130
3491-3100
3055-1086
3491-2803
3491-3124
RAMAIS DIRETO:
ALINE 3491-3124
LUANA 3491-2803
KALLICO 3491-3100
MACEDO 3055-2130
SENHA PARA ACESSAR SITE ISSQN: PCM001";2.0;1.0;"F";" ";" ";1.0;"";" ";" ";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;3.0;"";"";"N";"N";0.0;"";"N";80.0;"";"";0.0;"";"N";"N";"N";"N";"N";"N";"";"S";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
3;15.0;" ";"S";"S";" ";" ";" ";"CARTONAGEM NUNES IND E COM LTDA";"CARTONAGEM NUNES";"03.011.509/0001-28";"";"024/0123832";"";"RUA BUTTEMBENDER, 720";"FATIMA";11.0;"92200570";"";"";"";"";"(51) 3472.2166";"";"";"";1.0;0.0;"PAGAMENTO VIA DDA
===============

BANRISUL
AG.: 0165
C/C: 180253160-6
CNPJ: 03.011.509/0001-28";2.0;2.0;"C";" ";" ";"";"";" ";" ";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;4.0;"";"";"N";"N";0.0;"";"N";80.0;"";"";0.0;"";"N";"N";"N";"N";"N";"N";"";"S";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";85.0;"";"";"";"N";"";"";2;1.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";10.0;"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
4;16.0;" ";"S";"S";" ";" ";" ";"PATOLA ELETROPLASTICOS IND E COM LTDA";"PATOLA";"58.834.094/0001-84";"";"112086787114";"";"RUA SALVADOR MOTA, 700";"VILA INDUSTRIA";36.0;"03251180";"";"";"";"";"(11) 2143-2933";"";"11-61031499";"";1.0;5000.0;"";585.0;9.0;"F";"N";" ";2.0;585.0;"F";" ";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;4.0;"";"";"N";"N";0.0;"";"N";83.0;"";"";0.0;"";"N";"N";"N";"N";"S";"N";"";"S";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";86.0;"";"";"";"N";"";"I";3;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
5;17.0;" ";" ";"S";" ";" ";" ";"AMITIE LIVRARIA E PAPELARIA LTDA";"MARANATA";"04.178.870/0001-06";"";"058/0099237";"";"RUA SAO JOSE, 629";"CENTRO";10.0;"92500000";"";"";"";"";"(051) 3491-6955";"(051) 3055-1155";"51-34917526";"";2.0;0.0;"3285-1100 - GOSPEL";2.0;51.0;" ";" ";" ";"";"";" ";" ";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;4.0;"";"";"N";"N";0.0;"";"N";29.0;"";"";0.0;"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
6;19.0;" ";"S";"S";" ";" ";" ";"FERRAMENTAS GERAIS COM. IMP. S/A";"FERRAMENTAS GERAIS - FG";"92.664.028/0001-41";"";"096/0574352";"";"RUA VOLUNTARIOS DA PATRIA, 3223";"";94.0;"90230011";"";"";"";"";"(51) 3358.1077";"(51) 3358-1097 FISCA";"51-33581077";"";2.0;36.21;"513358-1041";111.0;2.0;"C";"N";"N";"";"";" ";" ";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;4.0;"";"";"N";"N";0.0;"";"N";80.0;"";"";0.0;"";"N";"N";"N";"N";"N";"N";"";"S";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;1.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
7;2199.0;"N";"N";"S";"N";"N";"N";"GAUCHA DISTRIBUIDORA DE INFORMATICA LTDA";"GAÚCHA INFORMÁTICA";"07.955.127/0001-03";"";"096/3213733";"";"AV BRASIL, 162";"NAVEGANTES";1.0;"90230060";"AV BRASIL, 162";"NAVEGANTES";1.0;"90230060";"";"";"";"";"";"";"";993.0;8.0;"F";"N";"N";"";"";"";"";"2019-02-27 11:12:59.849";165.0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"N";"";"";"N";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;0.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"N";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
8;23.0;" ";" ";"S";" ";" ";" ";"RAISA PRODUTOS ELETRONICOS LTDA";"RAISA";"94.553.617/0001-88";"";"0962273546";"";"RUA PIRAJU, 295";"SANTA MARIA GORETTI";94.0;"91350270";"RUA PIRAJU, 295";"SANTA MARIA GORETTI";94.0;"91350270";"(51) 3025.8405";"";"";"";2.0;1000.0;"ITAU
C/C 24694-4
AG: 0602
CNPJ: 94.553.617/0001-88";993.0;2.0;"F";" ";" ";"";"";" ";" ";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;"";"";"";"N";"N";0.0;"";"N";80.0;"";"";0.0;"";"N";"N";"N";"N";"N";"N";"";"N";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";"";"";"";"";"N";"";"";2;1.0;"N";2.0;"";"N";"N";"";"";"";"";"";"";"";"";"";"S";"";"";"N";"";"";"N";"N";"";"";"";"";"";""
9;25.0;" ";"S";"S";" ";" ";" ";"PAN ELECTRIC IND ELET IMP E EXP  LTDA";"PAN ELECTRIC";"91.690.271/0001-71";"";"010/0039189";"";"LUIZ PEDRO DE MARCO, 799";"CONCEIÇÃO";35.0;"95700000";"LUIZ PEDRO DE MARCO, 799";"CONCEIÇÃO";35.0;"95700000";"(54) 2102.3333";"";"54-4531176";"";1.0;10000.0;"";2.0;13.0;"C";" ";" ";"";"";"C";" ";"";1.0;"";0.0;0.0;0.0;"";" ";"";0.0;"";"";0.0;0.0;"";0.0;3.0;"";"";"N";"N";0.0;"";"N";80.0;"";"";0.0;"";"N";"N";"N";"N";"N";"N";"";"S";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"1899-12-30 00:00:00.000";"N";"N";"";"N";"N";"N";80.0;"";"";"";"N";"";"";1;1.0;"N";3.0;"";"N";"N";"";"";"";"";"";"";"";"";1.0;"S";"";"";"N";"";"";"S";"N";"";"";"";"";"";""
