"";"PK_IPC";"FK_PCO";"FK_PRO";"QUANTIDADE";"QTD_RECEB";"VALOR";"FK_MOE";"ENTREGA";"SEM_ENTREG";"FK_UNI";"QTD_CANC";"FOLLOWUP";"DT_FOLLOW";"DATA_IDEAL";"OBS";"VALOR_ANTERIOR";"DATA_ULT_ATUALIZACAO_FOLLOW";"FINALIDADE";"SOLICITANTE"
0;902.0;246.0;800.0;500.0;500.0;0.088;1.0;"2003-10-29 00:00:00.000";0.0;1.0;0.0;"";"";"";"";0.088;"";"";""
1;979.0;260.0;819.0;2000.0;2000.0;0.052;1.0;"2003-11-06 00:00:00.000";0.0;1.0;0.0;"";"";"";"";0.052;"";"";""
2;1470.0;362.0;907.0;5000.0;5000.0;0.05;1.0;"2004-01-16 00:00:00.000";0.0;1.0;0.0;"";"";"";"";0.05;"";"";""
3;1472.0;363.0;907.0;70000.0;70000.0;0.05;1.0;"2004-01-23 00:00:00.000";0.0;1.0;0.0;"";"";"";"";0.05;"";"";""
4;1536.0;381.0;800.0;500.0;500.0;0.0948;1.0;"2004-01-22 00:00:00.000";0.0;1.0;0.0;"";"";"";"";0.0948;"";"";""
5;1779.0;444.0;908.0;7000.0;7000.0;0.05;1.0;"2004-02-26 00:00:00.000";0.0;1.0;0.0;"";"";"";"";0.05;"";"";""
6;1823.0;466.0;908.0;10500.0;10500.0;0.05;1.0;"2004-03-05 00:00:00.000";0.0;1.0;0.0;"";"";"";"";0.05;"";"";""
7;1900.0;486.0;907.0;7000.0;7000.0;0.055;1.0;"2004-03-18 00:00:00.000";0.0;1.0;0.0;"";"";"";"";0.055;"";"";""
8;1901.0;487.0;907.0;7000.0;7000.0;0.055;1.0;"2004-03-25 00:00:00.000";0.0;1.0;0.0;"";"";"";"";0.055;"";"";""
9;1902.0;487.0;907.0;7000.0;7000.0;0.055;1.0;"2004-04-01 00:00:00.000";0.0;1.0;0.0;"";"";"";"";0.055;"";"";""
10;1903.0;487.0;907.0;7000.0;7000.0;0.055;1.0;"2004-04-08 00:00:00.000";0.0;1.0;0.0;"";"";"";"";0.055;"";"";""
11;1904.0;487.0;907.0;7000.0;7000.0;0.055;1.0;"2004-04-15 00:00:00.000";0.0;1.0;0.0;"";"";"";"";0.055;"";"";""
12;1905.0;487.0;907.0;7000.0;7000.0;0.055;1.0;"2004-04-22 00:00:00.000";0.0;1.0;0.0;"";"";"";"";0.055;"";"";""
