"";"PK_PRO";"DESCRICAO";"FK_CAD";"COD_FABRIC";"FK_SGR";"FK_CLF";"FK_MOE";"PREC_COMPR";"MARKUP";"PREC_VENDA";"QUANTIDADE";"QUANT_MIN";"FK_UNI";"OBSERVACAO";"REV_IND";"PERC_MO";"VALMOB";"EMB_PADRAO";"FK_UNICMP";"DATA_REAJ";"QTD_INIC";"INATIVO";"HOMEPAGE";"ARQUIVO";"SALA";"ESTANTE";"PRATELEIRA";"DESC_COMPL";"FK_USUEND";"DT_USUEND";"EM_DESATIV";"DATA_CAD";"USU_CAD";"QT_MIN_VEN";"FK_CAD_FIC";"ELAB_FOR";"DATA_ELAB";"DT_INATIV";"INSPECIONA";"INSP_OBS";"FK_SIT";"FK_CADCLI";"QTD2";"CODIGO_THYSSEN";"QTD_LINHA";"QTD_INIC_LINHA";"QTD_DIG_LINHA";"COD_FABRIC2";"FK_ORP";"ULT_ALIQ_ICMS";"ICMS_ORC";"MARKUP_ORC";"COMISSAO_ORC";"QTD_MESES_OC";"FK_SUB";"ESTOQUE_SEGURANCA";"LOTE_COMPRA";"PONTO_PEDIDO";"MESES_CONSUMO_MED";"RODAR_PONTO_PED_QTDMESES";"LEADTIME";"MOQ";"MARKUP_MAODEOBRA";"MARKUP_MATPRIMA";"QUANTIDADE_ANTIGA";"CODIGO_FCI";"MULT_ESTMIN";"CLASSIF_XYZ";"CLASSIF_ABC";"QTD_INIC1807";"OLD_PREC_COMPR";"OLD_PREC_VENDA";"ROHS";"COD_NF_FORNECEDOR";"PERIODICIDADE";"FK_NIV";"MESES_CONSUMO_MRP";"ULT_CUSTO_COMPRA";"HORIZONTE_PROGRAMACAO";"REV_IND_FIC";"FK_CEL";"LEADTIMEVENDA";"LEADTIMEVENDAUTEIS";"VAL_SALDO";"MRP_AUTOMATICO";"ANTECIPA_PERC_PP";"SEMANA_CONSIDERA_OP";"PERC_ESTOQUE_LP";"DELAY_OC";"CONSIDERA_VENDAS_DIRETAS";"COD_MP_CLIENTE";"DIVISAO_PARTE1";"DIVISAO_PARTE2";"DIVISAO_PARTE3";"DIVISAO_PARTE4";"DIVISAO_PARTE5";"FREQUENCIA_MRP";"TC_DIVISAO1";"TC_DIVISAO2";"TC_DIVISAO3";"TC_DIVISAO4";"TC_DIVISAO5";"TEMPO_CICLO";"DATA_ULT_TC_PRO";"DATA_ULT_TC_DIV1";"DATA_ULT_TC_DIV2";"DATA_ULT_TC_DIV3";"DATA_ULT_TC_DIV4";"DATA_ULT_TC_DIV5";"QTD_PESSOAS_TC_PRO";"QTD_PESSOAS_TC_DIV1";"QTD_PESSOAS_TC_DIV2";"QTD_PESSOAS_TC_DIV3";"QTD_PESSOAS_TC_DIV4";"QTD_PESSOAS_TC_DIV5";"MPQ";"TAMANHO_LOTE";"SEQUENCIA_CODBARRAS";"QTD_ANT";"QTDLP_ANT";"QTD_CORTE";"QTD_APONTADA";"CUSTO_UNIT";"PERC_ESTOQUE_CORTE";"REV_IND_CORTE";"ALIQ_PIS";"ALIQ_COFINS";"DATA_EFETIVACAO";"FK_NOR";"FK_CRS";"FK_BIT";"TENSAO";"TEMPERATURA";"FK_USU_CEL";"DATA_CEL";"SEMANAS_VDA_DIRETA";"CONSIDERA_OPS_ATRASADAS";"APLICAVEL";"CONSUMO_PREVISTO";"PRECO_FOB";"II";"FATOR_IMPORTACAO";"LEAD_TIME_PRIMEIRA_ENTREGA";"LEAD_TIME_ENTREGA_PADRAO";"FK_MOEFOB";"LEADTIME_UTIL_CORRIDO";"MULT_COMPOSICAO";"ANTECIPA_OP_LISTA_CORTE";"CONSIDERA_FORECAST";"FINALIDADE";"CREDITO_PISCOFINS";"CREDITO_ICMS"
0;800.0;"TERMINAL OLHAL";33.0;"AN2052";34.0;26.0;1.0;0.353;119.98;0.7244;100.0;1866.17;1.0;"";"";0.0;0.0;"100";1.0;"2019-09-04 11:22:04.330";6322.0;"N";"";"";"=2 /";"=D /";"=2";"TERMINAL OLHAL 2,70-6,60 MM2 M8";1.0;"2006-06-01 00:00:00.000";"N";"";"";0.0;"";"";"";"";"N";"";"";"";"";"";113.0;1720.0;"";"";"";12.0;"";"";"";"";81.0;"";"";"";"";"";25.0;100.0;"";"";6214.0;"";"";"X";"C";"";"";"";"S";"";0.25;3.0;40.0;"";4.0;"";31.0;"";"N";59.214000000000006;"S";3.0;4.0;65.0;2.0;"N";"";"";"";"";"";"";"S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";1.0;"";"";"";0.0;"";0.278;85.0;"";1.65;7.6;"";"";"";"";"";"";"";"";"";"S";"N";"";"";"";"";"";"";"";"C";"";"S";"N";"";"S";"S"
1;819.0;"TERMINAL OLHAL";33.0;"AN2037-C";34.0;26.0;1.0;0.18;124.8;0.3763;0.0;1066.5;1.0;"";"";0.0;0.0;"100";1.0;"2019-09-04 11:22:04.937";2200.0;"N";"";"";"=2/";"=D /";"=1";"TER OLHAL M8 (1,30-2,60MM²)";31.0;"2014-12-09 14:10:34.000";"N";"";"";0.0;"";"";"";"";"N";"";"";"";"";"";210.0;2017.0;"";"";"";12.0;"";"";"";"";81.0;"";"";"";"";"";25.0;100.0;"";"";7070.0;"";"";"X";"C";"";"";"";"S";"";0.25;3.0;40.0;"";4.0;"";31.0;"";"N";29.82;"S";3.0;2.0;65.0;3.0;"N";"";"";"";"";"";"";"S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";1.0;"";"";"";0.0;"";0.142;85.0;"";1.65;7.6;"";"";"";"";"";"";"";"";"";"S";"N";"";"";"";"";"";"";"";"C";"";"N";"N";"";"S";"S"
2;907.0;"TER SOMATEN.LOCK";997.0;"881111-1 (BUFFER)";28.0;17.0;1.0;0.0579;125.0;0.1217;80000.0;0.0;1.0;"";"";0.0;0.0;"5000";1.0;"2019-09-09 13:25:12.721";0.0;"N";"";"";"= 2 /";"= I /";"= 3/7/8";"350536-1 TER FEMEA SOQ MATE-N-LOCK UNIV. LT SN (0,5-2,08MM²) TIN-PLATED(X08.038.181)";1.0;"2004-12-14 00:00:00.000";"N";"";"";0.0;"";"";"";"";"N";"";"";"";"";"";104104.03299999992;0.0;"";"";2.0;12.0;"";"";"";"";81.0;"";"";"";"";"";20.0;20000.0;"";"";44633.0;"";"";"Y";"A";"";"";"";"N";"";0.25;3.0;40.0;"";4.0;"";31.0;"";"N";8873.906;"S";3.0;"";65.0;4.0;" ";"(PL) X08.038.181";"";"";"";"";"";"S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20000";"";"";"";"";0.0;"";0.048;0.0;"";1.65;7.6;"";"";"";"";"";"";195.0;"2019-03-19 13:13:42.345";"";"N";"S";"";"";"";"";2.0;2.0;"";"C";"";"S";"N";"";"S";"S"
3;908.0;"TERMINAL MACHO";997.0;"881109-1 (BUFFER)";148.0;17.0;1.0;0.0579;125.0;0.1217;70000.0;0.0;1.0;"";"";0.0;0.0;"5000";1.0;"2019-09-09 13:25:12.881";99258.0;"N";"";"";"- 2";"- I";"= 4/5/9";"350687-1 - TER. MACHO PINO MATE-N-LOCK UNIV. LT SN (0,5-2,08MM²) (X08.038.180)";1.0;"2004-12-14 00:00:00.000";"N";"";"";0.0;"";"";"";"";"N";"";"";"";"";"";54410.00999999998;2105.0;"";"";2.0;12.0;"";"";"";"";81.0;"";"";"";"";"";25.0;20000.0;"";"";462099.0;"";"";"Y";"A";"";"";"";"N";"";0.25;3.0;40.0;"";4.0;"";31.0;"";"N";3465.055;"S";1.0;2.0;60.0;4.0;" ";"(PM) X08.038.180";"";"";"";"";"";"S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20000";"";"";"";"";0.0;"";0.028;85.0;"";1.65;7.6;"";"";"";"";"";"";"";"";"";"S";"S";"";"";"";"";7.0;7.0;"";"C";"";"S";"N";"";"S";"S"
4;1062.0;"CONECTOR 12V M";997.0;"LW-6350F1202 (1-480708-0) (BUFFER)";18.0;144.0;1.0;0.511;120.01;0.99;8136.0;33805.33;1.0;"PREÇO SECCON: USD 0,1906";"";0.0;0.0;"250";1.0;"2019-09-09 13:43:43.097";17750.0;"N";"";"";"=2 /";"=I/";"=20";"CONECTOR 12V MACHO (X08.038.178)";1.0;"2004-12-14 00:00:00.000";"N";"";"";0.0;"";"";"";"";"N";"";"";"";"";"";4177.0;4493.0;"";"";2.0;4.0;"";"";"";"";81.0;"";"";"";"";"";35.0;1000.0;"";"";118848.0;"";"";"I";"A";"";"";"";"N";"";0.25;3.0;60.0;"";4.0;"";31.0;"";"N";5544.996;"S";3.0;"";80.0;4.0;"N";"X08.038.178";"";"";"";"";"";"S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1000";"";"";"";"";0.0;"";0.45;0.0;"";1.65;7.6;"";"";"";"";"";"";"";"";"";"N";"N";"";0.128;"";"";"";"";2.0;"C";"";"E";"N";"";"S";"S"
5;1065.0;"CONECTOR 9V M";997.0;"LW-6350F0902 (1-480706-0) (BUFFER)";18.0;14.0;1.0;0.4635;120.01;0.9454;2970.0;1783.33;1.0;"PREÇO SECCON: USD 0,1688";"";0.0;0.0;"250";1.0;"2019-09-09 13:43:43.153";1500.0;"N";"";"";"=2 /";"=I";"=17";"CONECTOR 9V MACHO (X08.038.291)";1.0;"2004-12-14 00:00:00.000";"N";"";"";0.0;"";"";"";"";"N";"";"";"";"";4156233.0;322.0;1176.0;"";"";2.0;4.0;"";"";"";"";81.0;"";"";"";"";"";35.0;1300.0;"";"";7585.0;"";"";"I";"A";"";"";"";"N";"";0.5;3.0;60.0;"";4.0;"";31.0;"";"N";1416.127;"S";3.0;"";80.0;4.0;"N";"X08.038.291";"";"";"";"";"";"S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1300";1.0;"";"";"";0.0;"";0.43;85.0;"";1.65;7.6;"";"";"";"";"";"";"";"";"";"N";"N";"";0.097;"";"";"";"";2.0;"C";"";"E";"N";"";"S";"S"
6;1718.0;" TER. OLHAL M6";33.0;"AN2051";34.0;26.0;1.0;0.383;124.97;0.8034;42.0;413.33;1.0;"";"";0.0;0.0;"100";1.0;"2019-09-04 11:22:06.361";5980.0;"N";"";"";"=2 /";"=D /";"=2";"TER.OLHAL M6 (2,70-6,60MM²) S/ ISOL";1.0;"2006-06-01 00:00:00.000";"N";"2005-11-22 00:00:00.000";"LUCIANO";0.0;"";"";"";"";"N";"";"";"";"";"";59.0;584.0;"";"";"";12.0;"";"";"";"";81.0;"";"";"";"";"";25.0;100.0;"";"";4297.0;"";"";"X";"C";"";"";"";"S";"";0.25;3.0;40.0;"";4.0;"";31.0;"";"N";30.602999999999998;"S";3.0;"";65.0;2.0;" ";"";"";"";"";"";"";"M";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";1.0;"";"";"";0.0;"";0.303;85.0;"";1.65;7.6;"";"";"";"";"";"";"";"";"";"N";"N";"";"";"";"";"";"";"";"C";"";"N";"N";"";"S";"S"
7;1916.0;"CAPA DE FASTON";516.0;"180907-0";30.0;144.0;1.0;0.3223;0.0;0.293;98.0;0.0;1.0;"";"";0.0;0.0;"10";1.0;"2019-09-16 08:57:33.868";0.0;"N";"";"";"         0";"         0";"         0";"CONECTOR RECEP 2V 6,3 TIPO T NATURAL";156.0;"2019-10-25 16:08:08.989";"N";"2006-03-27 00:00:00.000";"LUCIANO";"";"";"";"";"";"N";"";"";"";"";"";1350.0;0.0;"";"";"";12.0;"";"";"";"";81.0;"";"";"";"";"";30.0;100.0;"";"";0.0;"";"";"Z";"B";"";"";"";"N";"";0.25;2.0;40.0;"";15.0;"";"";"";"N";388.064;"S";3.0;6.0;80.0;12.0;"S";"CQ10886";"";"";"";"";"";"S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";1.0;"";"";"";0.0;"";0.268;85.0;"";1.65;7.6;"";"";"";"";"";"";"";"";"";"S";"N";"";"";"";"";"";"";"";"C";"";"E";"S";"";"S";"S"
8;2647.0;"TERMINAL";237.0;"LW-4203TF22R";148.0;4.0;2.0;0.0108;0.0;0.0088;55000.0;36517.0;1.0;"85369040";"";0.0;0.0;"5000";1.0;"2019-04-15 14:02:55.680";40000.0;"N";"";"";"=2 /";"=I /";"=13";"TERMINAL MINIFIT FEMEA (X08.038.600) 18AWG - 24AWG";"";"";"N";"2007-11-07 00:00:00.000";"SUZAN";0.0;"";"";"";"";"N";"";"";"";"";"";33018.5;22960.0;"";"";2.0;4.0;"";"";"";"";81.0;"";"";"";"";"";30.0;5000.0;"";"";99559.0;"";"";"X";"C";"";"";"";"N";"";0.25;6.0;40.0;"";5.0;"";31.0;"";"N";3280.515;"S";3.0;1.0;80.0;2.0;"N";"X08.038.600";"";"";"";"";"";"S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5000";1.0;"";"";"";0.0;"";0.037;85.0;"";1.65;7.6;"";"";"";"";"";"";"";"";"";"S";"S";"";"";"";"";"";"";"";"C";"";"S";"N";"";"S";"S"
9;2704.0;"TERM FASTO-ON F";2271.0;"444335-2";148.0;17.0;1.0;0.0677;124.88;0.1208;20000.0;29739.0;1.0;"";"";0.0;0.0;"10000";1.0;"2019-09-11 08:22:19.070";66400.0;"N";"";"";"= 2 /";"=H /";"=11";"TER RECEP 6.3X0,8MM FAST-ON S/ TRAVA (1 ,00-2,5MM²)";8.0;"2009-02-19 00:00:00.000";"N";"2007-12-17 00:00:00.000";"GUILHERM";0.0;"";"";"";"";"N";"";"";"";"";"";36559.99999999999;20665.0;"";"";"";12.0;"";"";"";"";81.0;"";"";"";3.0;"";60.0;20000.0;"";"";91311.0;"";3.0;"X";"B";"";"";"";"S";"";0.25;3.0;40.0;"";6.0;"";"";"";"N";2997.627;"S";3.0;2.0;55.0;4.0;"N";"(E)(ES)(ER)(EI)";"";"";"";"";"";"S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20000";"";"";"";"";0.0;"";0.053;85.0;"";1.65;7.6;"";"";"";"";"";"";"";"";"";"S";"S";"";"";"";"";"";"";"";"C";"";"E";"N";"";"S";"S"
