"";"PK_NIV";"DESCRICAO";"PERCENTUAL";"FATOR_SERVICO"
0;1.0;"60% DE COBERTURA 0,25 DESVIOS";60.0;0.254
1;2.0;"70% DE COBERTURA 0,5 DESVIOS";70.0;0.525
2;3.0;"80% DE COBERTURA 0,84 DESVIOS";80.0;0.842
3;4.0;"85% DE COBERTURA 1,02 DESVIOS";85.0;1.0282
4;5.0;"90% DE COBERTURA 1,28 DESVIOS";90.0;1.282
5;6.0;"95% DE COBERTURA 1,64 DESVIOS";95.0;1.645
6;7.0;"96% DE COBERTURA 1,75 DESVIOS";96.0;1.751
7;8.0;"97% DE COBERTURA 1,88 DESVIOS";97.0;1.88
8;9.0;"98% DE COBERTURA 2,05 DESVIOS";98.0;2.055
9;10.0;"99% DE COBERTURA 2,32 DESVIOS";99.0;2.325
10;11.0;"99,9% DE COBERTURA 3,10 DESVIOS";99.9;3.1
11;12.0;"99,99% DE COBERTURA 3.62 DESVIOS";99.99;3.62
12;13.0;"50% DE COBERTURA 0,2 DESVIOS";50.0;0.2
13;14.0;"25% DE COBERTURA 0,1 DESVIOS";25.0;0.1
